ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
159,China,Xiangyang,20,Positive only,68,0.60,0.00,0.00,1.00,0.00,0.00,,0.65,0.25,0.20,,,0.00,,0.05,,0.80,,0.65,,0.10,0.30,,0.70,,0.15,0.05,,,,,,0.00,0.03
160,China,Anhui,125,Positive only,39,0.57,0.00,0.00,1.00,0.00,0.00,0.13,,,0.14,0.02,0.01,0.06,,,,0.93,,0.82,0.46,0.09,0.42,0.03,0.34,,0.40,0.19,,0.14,,0.02,,0.00,0.00
160,China,Anhui,1,Positive only,69,1.00,0.00,0.00,1.00,0.00,0.00,,,,1.00,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,0.00
160,China,Anhui,1,Positive only,40,1.00,0.00,0.00,1.00,0.00,0.00,,,,0.00,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,0.00
160,China,Anhui,1,Positive only,21,0.00,0.00,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,0.00
160,China,Anhui,1,Positive only,67,1.00,0.00,0.00,1.00,0.00,0.00,,,,1.00,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,0.00
161,China,Shanghai,274,Positive only,44,0.62,0.00,0.00,1.00,0.00,0.00,0.07,0.34,0.17,0.08,0.07,0.03,0.04,,0.01,,0.91,0.32,0.68,0.44,0.11,0.30,0.22,0.50,,0.28,0.09,0.24,0.04,,0.38,,,0.41
161,China,Shanghai,113,Positive only,62,0.73,0.00,0.00,1.00,0.00,0.00,0.08,0.48,0.21,0.14,0.10,0.04,0.04,,0.04,,0.92,0.59,0.70,0.62,0.10,0.31,0.19,0.57,,0.24,0.07,0.27,0.04,,0.49,,,1.00
161,China,Shanghai,161,Positive only,37,0.55,0.00,0.00,1.00,0.00,0.00,0.06,0.24,0.14,0.04,0.04,0.01,0.04,,0.01,,0.90,0.14,0.66,0.31,0.12,0.30,0.24,0.45,,0.31,0.10,0.22,0.05,,0.30,,,0.00
162,China,Zhuhai,95,Positive only,45,0.47,0.00,0.00,1.00,0.00,0.00,0.06,0.17,0.06,0.04,0.05,0.05,,0.04,0.01,,,,,,,,,,,0.20,0.15,0.13,,,,,0.00,0.00
