Median Age,Smoking history,Current drinker,Obesity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Mortality
56,0,0,0,0,0,0,0,0,0,0,0,1,1
59,0,0,0,1,1,0,0,0,0,0,0,0,1
56,0,0,0,1,1,0,0,0,0,1,0,1,1
74,0,0,0,1,0,0,0,0,0,1,0,1,1
55,0,0,0,0,0,0,0,1,0,0,0,0,1
64,0,0,0,0,0,0,0,1,0,0,0,0,1
74,0,0,0,1,0,0,0,1,0,0,0,0,1
56,0,0,0,1,0,1,0,1,0,0,0,1,1
100,0,0,0,0,1,1,1,0,0,0,0,1,1
45,0,0,0,4,4,0,0,0,0,0,0,0,0
44,0,0,0,3,0,0,0,0,0,0,0,0,0
52,0,0,0,1,4,0,0,0,0,0,0,0,0
45,26,23,0,23,15,7,6,0,0,7,0,0,0
70,9,4,0,15,8,3,4,0,0,3,0,0,0
35,17,19,0,8,7,4,2,0,0,4,0,0,0
26,5,13,17,0,0,0,0,0,0,0,0,0,0
18,1,3,4,0,0,0,0,0,0,0,0,0,0
30,4,10,13,0,0,0,0,0,0,0,0,0,0
35,1,0,0,3,1,0,0,0,0,0,0,2,0
37,1,0,0,1,1,0,0,0,0,0,0,2,0
30,0,0,0,2,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,2,0,15,12,7,1,0,0,0,0,0,0
40,1,1,0,6,7,1,0,0,0,0,0,0,0
44,3,1,0,9,5,6,1,0,0,0,0,0,0
51,0,0,0,1,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
45,41,0,0,100,48,5,1,6,25,0,6,4,0
46,3,0,0,12,7,1,0,0,8,0,0,0,0
45,38,0,0,88,41,4,1,6,17,0,6,4,0
52,0,0,0,3,0,1,0,0,0,0,0,0,0
65,0,0,0,1,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,1,0,1,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,1,0,1,0,0,1,0,1,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,1
61,0,0,0,0,0,1,9,36,3,0,21,292,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,1
